Date,Flight Number,From,To,Class,Price,FLowCard,Bags Checked,Meal Type
5/17/2024,PA003,London,Perth,Business Class,379.20,Yes,3,Nut Free
6/2/2024,PA007,New York,Perth,First Class,612.00,Yes,0,Nut Free
7/23/2024,PA005,London,Tokyo,Premium Economy,1015.00,Yes,3,Nut Free
8/21/2024,PA012,Tokyo,Perth,Business Class,572.40,Yes,0,None
3/17/2024,PA005,London,Tokyo,Economy,2380.00,Yes,1,Egg Free
11/27/2024,PA007,New York,Perth,Premium Economy,692.50,Yes,0,Nut Free
7/25/2024,PA009,New York,Tokyo,Business Class,734.40,Yes,2,Vegetarian
5/13/2024,PA006,Tokyo,London,Premium Economy,1520.00,Yes,3,Vegetarian
9/28/2024,PA011,Perth,Tokyo,Premium Economy,1397.50,Yes,2,Dairy Free
6/14/2024,PA009,New York,Tokyo,First Class,383.00,Yes,0,Dairy Free
6/8/2024,PA007,New York,Perth,Economy,2825.00,Yes,2,Vegetarian
1/9/2024,PA002,New York,London,First Class,342.00,Yes,2,Dairy Free
11/22/2024,PA003,London,Perth,Economy,2245.00,Yes,1,None
9/4/2024,PA002,New York,London,Premium Economy,1387.50,Yes,2,Vegetarian
9/19/2024,PA009,New York,Tokyo,Premium Economy,675.00,Yes,2,Egg Free
2/27/2024,PA004,Perth,London,First Class,535.00,Yes,3,Dairy Free
10/19/2024,PA001,London,New York,Premium Economy,545.00,Yes,0,Nut Free
3/26/2024,PA012,Tokyo,Perth,First Class,566.00,Yes,0,Dairy Free
9/27/2024,PA002,New York,London,Premium Economy,625.00,Yes,2,Dairy Free
5/11/2024,PA006,Tokyo,London,First Class,208.00,Yes,0,None
6/25/2024,PA012,Tokyo,Perth,Economy,2080.00,Yes,0,Vegetarian
8/3/2024,PA002,New York,London,First Class,284.00,Yes,0,None
4/27/2024,PA011,Perth,Tokyo,Economy,3245.00,Yes,3,Vegetarian
4/9/2024,PA006,Tokyo,London,Premium Economy,710.00,Yes,2,Egg Free
11/19/2024,PA003,London,Perth,Premium Economy,1357.50,Yes,3,Vegan
6/24/2024,PA006,Tokyo,London,First Class,245.00,Yes,1,Nut Free
2/12/2024,PA011,Perth,Tokyo,Business Class,505.20,Yes,1,Vegetarian
3/4/2024,PA008,Perth,New York,Business Class,538.80,Yes,0,Egg Free
12/15/2024,PA009,New York,Tokyo,Economy,1310.00,Yes,0,Egg Free
9/25/2024,PA008,Perth,New York,First Class,642.00,Yes,3,Vegan
2/23/2024,PA002,New York,London,Premium Economy,547.50,Yes,2,Nut Free
1/27/2024,PA004,Perth,London,Premium Economy,1147.50,Yes,2,Nut Free
6/20/2024,PA008,Perth,New York,First Class,217.00,Yes,2,Egg Free
10/14/2024,PA011,Perth,Tokyo,Economy,2180.00,Yes,1,Nut Free
4/1/2024,PA004,Perth,London,Business Class,261.60,Yes,0,Dairy Free
8/4/2024,PA011,Perth,Tokyo,Economy,1005.00,Yes,1,Dairy Free
4/9/2024,PA007,New York,Perth,Premium Economy,842.50,Yes,3,Egg Free
8/18/2024,PA002,New York,London,Premium Economy,1360.00,Yes,0,None
4/17/2024,PA002,New York,London,Economy,1630.00,Yes,1,Vegan
1/15/2024,PA004,Perth,London,Premium Economy,1472.50,Yes,0,Nut Free
2/10/2024,PA009,New York,Tokyo,First Class,368.00,Yes,3,Vegan
6/2/2024,PA006,Tokyo,London,Premium Economy,1735.00,Yes,3,Vegan
10/6/2024,PA010,Tokyo,New York,Premium Economy,992.50,Yes,3,Vegan
6/3/2024,PA011,Perth,Tokyo,First Class,201.00,Yes,1,Vegetarian
12/10/2024,PA002,New York,London,Economy,3030.00,Yes,2,Dairy Free
12/21/2024,PA001,London,New York,Business Class,655.20,Yes,2,None
9/10/2024,PA011,Perth,Tokyo,Business Class,306.00,Yes,0,Dairy Free
3/12/2024,PA006,Tokyo,London,Economy,3010.00,Yes,3,Egg Free
10/17/2024,PA005,London,Tokyo,First Class,228.00,Yes,1,None
8/24/2024,PA003,London,Perth,Economy,1780.00,Yes,3,Dairy Free
12/11/2024,PA004,Perth,London,First Class,595.00,Yes,2,Vegan
8/1/2024,PA003,London,Perth,Economy,2170.00,Yes,3,Nut Free
7/31/2024,PA010,Tokyo,New York,Premium Economy,1412.50,Yes,0,Vegan
10/8/2024,PA008,Perth,New York,Business Class,249.60,Yes,2,Nut Free
12/12/2024,PA010,Tokyo,New York,Premium Economy,1437.50,Yes,1,Egg Free
10/14/2024,PA009,New York,Tokyo,Economy,1360.00,Yes,1,Dairy Free
10/25/2024,PA008,Perth,New York,First Class,575.00,Yes,0,Nut Free
8/7/2024,PA002,New York,London,Premium Economy,832.50,Yes,0,None
12/4/2024,PA004,Perth,London,Economy,2540.00,Yes,3,Vegan
7/28/2024,PA005,London,Tokyo,First Class,263.00,Yes,2,None
3/12/2024,PA007,New York,Perth,Economy,2640.00,Yes,0,Vegan
5/11/2024,PA003,London,Perth,Economy,2885.00,Yes,3,Vegetarian
12/5/2024,PA008,Perth,New York,Economy,2200.00,Yes,1,Nut Free
3/13/2024,PA001,London,New York,Premium Economy,1422.50,Yes,0,Dairy Free
12/5/2024,PA012,Tokyo,Perth,Economy,2230.00,Yes,3,None
8/21/2024,PA008,Perth,New York,First Class,300.00,Yes,0,Vegan
10/31/2024,PA010,Tokyo,New York,Premium Economy,780.00,Yes,2,None
11/1/2024,PA009,New York,Tokyo,Premium Economy,1585.00,Yes,1,Dairy Free
6/4/2024,PA010,Tokyo,New York,First Class,389.00,Yes,1,Egg Free
6/12/2024,PA012,Tokyo,Perth,Business Class,318.00,Yes,1,Nut Free
8/13/2024,PA011,Perth,Tokyo,Economy,1165.00,Yes,0,None
2/3/2024,PA003,London,Perth,Premium Economy,1095.00,Yes,3,None
8/20/2024,PA005,London,Tokyo,Premium Economy,1632.50,Yes,2,Vegan
1/20/2024,PA004,Perth,London,First Class,440.00,Yes,3,Dairy Free
5/4/2024,PA007,New York,Perth,Premium Economy,1680.00,Yes,1,Nut Free
1/3/2024,PA006,Tokyo,London,Economy,1280.00,Yes,1,Dairy Free
4/11/2024,PA008,Perth,New York,First Class,676.00,Yes,1,Egg Free
3/21/2024,PA004,Perth,London,Business Class,836.40,Yes,1,Egg Free
10/9/2024,PA011,Perth,Tokyo,Economy,3065.00,Yes,3,Dairy Free
5/31/2024,PA007,New York,Perth,Premium Economy,725.00,Yes,3,Dairy Free
5/19/2024,PA005,London,Tokyo,Business Class,424.80,Yes,2,Nut Free
1/25/2024,PA012,Tokyo,Perth,Business Class,358.80,Yes,0,None
1/2/2024,PA003,London,Perth,Premium Economy,1200.00,Yes,3,Dairy Free
5/15/2024,PA008,Perth,New York,Business Class,427.20,Yes,0,Vegan
4/24/2024,PA010,Tokyo,New York,Economy,2130.00,Yes,0,Dairy Free
4/28/2024,PA002,New York,London,Business Class,241.20,Yes,2,Vegetarian
12/13/2024,PA003,London,Perth,Premium Economy,505.00,Yes,2,None
10/20/2024,PA011,Perth,Tokyo,First Class,385.00,Yes,2,Dairy Free
8/27/2024,PA002,New York,London,First Class,573.00,Yes,1,Vegan
11/12/2024,PA003,London,Perth,Economy,2190.00,Yes,3,Vegetarian
7/23/2024,PA009,New York,Tokyo,Business Class,339.60,Yes,1,Vegetarian
2/22/2024,PA005,London,Tokyo,Business Class,468.00,Yes,1,None
9/18/2024,PA001,London,New York,Economy,1020.00,Yes,0,Vegetarian
12/6/2024,PA011,Perth,Tokyo,Business Class,601.20,Yes,3,Dairy Free
10/10/2024,PA001,London,New York,Economy,3035.00,Yes,3,Vegetarian
12/14/2024,PA007,New York,Perth,Premium Economy,1305.00,Yes,2,Nut Free
11/7/2024,PA006,Tokyo,London,First Class,252.00,Yes,0,None
3/21/2024,PA003,London,Perth,Business Class,272.40,Yes,2,Nut Free
2/26/2024,PA009,New York,Tokyo,Premium Economy,1085.00,Yes,2,Vegan
7/31/2024,PA012,Tokyo,Perth,Premium Economy,817.50,Yes,1,Egg Free
1/20/2024,PA008,Perth,New York,Economy,2330.00,Yes,1,Egg Free
8/26/2024,PA007,New York,Perth,Economy,2235.00,Yes,1,None
4/5/2024,PA005,London,Tokyo,Economy,3005.00,Yes,0,None
1/5/2024,PA010,Tokyo,New York,First Class,681.00,Yes,0,None
3/2/2024,PA006,Tokyo,London,Business Class,558.00,Yes,2,Vegetarian
3/6/2024,PA009,New York,Tokyo,Economy,1840.00,Yes,3,Vegetarian
4/16/2024,PA012,Tokyo,Perth,First Class,506.00,Yes,2,Nut Free
5/29/2024,PA007,New York,Perth,Business Class,240.00,Yes,1,Vegetarian
1/4/2024,PA002,New York,London,Premium Economy,1635.00,Yes,2,Egg Free
7/7/2024,PA011,Perth,Tokyo,Economy,2590.00,Yes,1,Vegetarian
10/6/2024,PA003,London,Perth,Business Class,783.60,Yes,2,Vegan
5/3/2024,PA001,London,New York,Economy,3160.00,Yes,2,None
8/9/2024,PA011,Perth,Tokyo,First Class,512.00,Yes,0,Egg Free
10/27/2024,PA010,Tokyo,New York,Economy,1715.00,Yes,0,Nut Free
6/10/2024,PA009,New York,Tokyo,First Class,517.00,Yes,2,Vegan
12/20/2024,PA006,Tokyo,London,Economy,2725.00,Yes,0,Vegetarian
11/27/2024,PA012,Tokyo,Perth,Economy,2500.00,Yes,1,Dairy Free
3/23/2024,PA009,New York,Tokyo,Economy,2300.00,Yes,1,Dairy Free
7/6/2024,PA003,London,Perth,First Class,305.00,Yes,1,Egg Free
12/5/2024,PA002,New York,London,Business Class,499.20,Yes,0,Vegetarian
7/9/2024,PA012,Tokyo,Perth,Economy,1420.00,Yes,0,Nut Free
3/31/2024,PA006,Tokyo,London,First Class,300.00,Yes,0,None
5/6/2024,PA004,Perth,London,First Class,591.00,Yes,3,None
4/10/2024,PA001,London,New York,Premium Economy,1042.50,Yes,0,None
5/16/2024,PA003,London,Perth,Economy,2925.00,Yes,1,Vegan
12/1/2024,PA008,Perth,New York,First Class,340.00,Yes,1,Egg Free
6/26/2024,PA003,London,Perth,Business Class,463.20,Yes,1,Vegan
12/21/2024,PA001,London,New York,Business Class,325.20,Yes,3,Vegetarian
7/10/2024,PA007,New York,Perth,Economy,1600.00,Yes,1,Vegetarian
12/16/2024,PA006,Tokyo,London,Premium Economy,1582.50,Yes,0,Nut Free
5/23/2024,PA003,London,Perth,Economy,2045.00,Yes,2,None
8/14/2024,PA004,Perth,London,Premium Economy,742.50,Yes,2,Vegan
9/19/2024,PA011,Perth,Tokyo,Business Class,332.40,Yes,2,Dairy Free
7/6/2024,PA004,Perth,London,Premium Economy,595.00,Yes,2,Vegan
1/23/2024,PA001,London,New York,Premium Economy,1290.00,Yes,3,Vegan
7/7/2024,PA008,Perth,New York,First Class,348.00,Yes,2,Vegetarian
11/6/2024,PA001,London,New York,Economy,1245.00,Yes,2,None
8/19/2024,PA005,London,Tokyo,Business Class,421.20,Yes,0,Nut Free
5/6/2024,PA002,New York,London,Premium Economy,912.50,Yes,0,Dairy Free
12/17/2024,PA011,Perth,Tokyo,First Class,511.00,Yes,1,Dairy Free
7/29/2024,PA011,Perth,Tokyo,Business Class,337.20,Yes,1,Vegan
1/8/2024,PA008,Perth,New York,Economy,3065.00,Yes,1,Vegan
12/29/2024,PA003,London,Perth,Premium Economy,1107.50,Yes,1,None
8/29/2024,PA006,Tokyo,London,First Class,476.00,Yes,2,Vegan
4/4/2024,PA012,Tokyo,Perth,Business Class,818.40,Yes,1,Egg Free
8/9/2024,PA010,Tokyo,New York,First Class,665.00,Yes,3,Dairy Free
4/3/2024,PA004,Perth,London,First Class,427.00,Yes,1,None
10/6/2024,PA009,New York,Tokyo,Economy,3165.00,Yes,1,None
7/14/2024,PA006,Tokyo,London,First Class,630.00,Yes,1,Egg Free
1/5/2024,PA012,Tokyo,Perth,First Class,436.00,Yes,3,Nut Free
3/22/2024,PA007,New York,Perth,Economy,2240.00,Yes,0,Dairy Free
5/25/2024,PA010,Tokyo,New York,Business Class,674.40,Yes,3,None
3/20/2024,PA007,New York,Perth,Economy,1170.00,Yes,0,None
10/22/2024,PA001,London,New York,Premium Economy,952.50,Yes,1,None
12/24/2024,PA005,London,Tokyo,First Class,244.00,Yes,0,Vegetarian
2/1/2024,PA005,London,Tokyo,First Class,586.00,Yes,0,Dairy Free
2/20/2024,PA002,New York,London,Premium Economy,1737.50,Yes,3,Vegan
7/15/2024,PA006,Tokyo,London,Premium Economy,1342.50,Yes,2,Dairy Free
1/7/2024,PA003,London,Perth,Business Class,462.00,Yes,2,None
7/11/2024,PA002,New York,London,First Class,494.00,Yes,3,Vegan
1/8/2024,PA007,New York,Perth,Economy,2300.00,Yes,1,Vegetarian
8/19/2024,PA002,New York,London,First Class,213.00,Yes,0,Vegetarian
6/28/2024,PA009,New York,Tokyo,Economy,2850.00,Yes,1,Vegetarian
11/23/2024,PA003,London,Perth,First Class,646.00,Yes,1,Vegan
8/11/2024,PA012,Tokyo,Perth,Premium Economy,1140.00,Yes,2,Egg Free
5/2/2024,PA009,New York,Tokyo,Business Class,706.80,Yes,0,Egg Free
7/18/2024,PA007,New York,Perth,Business Class,709.20,Yes,2,Nut Free
11/25/2024,PA003,London,Perth,Economy,2155.00,Yes,2,Nut Free
6/10/2024,PA001,London,New York,Premium Economy,665.00,Yes,0,None
10/20/2024,PA001,London,New York,Business Class,451.20,Yes,2,Dairy Free
4/16/2024,PA009,New York,Tokyo,Business Class,282.00,Yes,2,Vegan
12/26/2024,PA006,Tokyo,London,Economy,2395.00,Yes,0,Dairy Free
3/26/2024,PA011,Perth,Tokyo,First Class,645.00,Yes,3,Egg Free
6/23/2024,PA007,New York,Perth,First Class,666.00,Yes,1,Egg Free
9/9/2024,PA012,Tokyo,Perth,Business Class,265.20,Yes,1,None
8/15/2024,PA006,Tokyo,London,Economy,1515.00,Yes,0,Egg Free
9/9/2024,PA009,New York,Tokyo,Premium Economy,1557.50,Yes,1,Dairy Free
4/7/2024,PA003,London,Perth,Premium Economy,1727.50,Yes,1,None
4/30/2024,PA009,New York,Tokyo,Economy,1220.00,Yes,3,Vegetarian
10/28/2024,PA010,Tokyo,New York,Business Class,796.80,Yes,2,Dairy Free
4/16/2024,PA008,Perth,New York,Economy,2235.00,Yes,1,Egg Free
8/27/2024,PA003,London,Perth,First Class,694.00,Yes,0,Dairy Free
2/6/2024,PA012,Tokyo,Perth,Premium Economy,570.00,Yes,2,Dairy Free
9/3/2024,PA009,New York,Tokyo,Premium Economy,840.00,Yes,0,Nut Free
12/31/2024,PA002,New York,London,Premium Economy,677.50,Yes,3,Nut Free
8/28/2024,PA003,London,Perth,Premium Economy,505.00,Yes,3,None
10/23/2024,PA001,London,New York,Economy,1155.00,Yes,1,Egg Free
10/2/2024,PA011,Perth,Tokyo,Business Class,679.20,Yes,3,Nut Free
4/1/2024,PA008,Perth,New York,Premium Economy,1530.00,Yes,1,Vegetarian
5/9/2024,PA002,New York,London,Economy,2585.00,Yes,1,Egg Free
4/25/2024,PA006,Tokyo,London,Economy,1650.00,Yes,3,Egg Free
5/3/2024,PA011,Perth,Tokyo,Business Class,627.60,Yes,2,Egg Free
6/20/2024,PA001,London,New York,First Class,456.00,Yes,3,Vegetarian
10/9/2024,PA012,Tokyo,Perth,Premium Economy,980.00,Yes,1,Egg Free
5/6/2024,PA006,Tokyo,London,Premium Economy,832.50,Yes,3,Egg Free
8/5/2024,PA007,New York,Perth,Economy,1765.00,Yes,1,Vegetarian
10/19/2024,PA002,New York,London,Premium Economy,650.00,Yes,1,Vegan
10/3/2024,PA007,New York,Perth,First Class,694.00,Yes,3,Nut Free
8/24/2024,PA006,Tokyo,London,Premium Economy,1447.50,Yes,3,None
11/19/2024,PA005,London,Tokyo,First Class,238.00,Yes,0,Vegetarian
6/19/2024,PA006,Tokyo,London,Economy,1705.00,Yes,2,Dairy Free
9/11/2024,PA004,Perth,London,Premium Economy,922.50,Yes,2,Vegetarian
7/18/2024,PA008,Perth,New York,First Class,395.00,Yes,2,Dairy Free
5/3/2024,PA001,London,New York,First Class,567.00,Yes,2,Vegan
2/7/2024,PA009,New York,Tokyo,Business Class,421.20,Yes,0,Vegetarian
8/6/2024,PA002,New York,London,Business Class,586.80,Yes,1,Vegetarian
12/13/2024,PA009,New York,Tokyo,Business Class,604.80,Yes,1,Vegan
7/4/2024,PA007,New York,Perth,Premium Economy,1080.00,Yes,3,Vegan
7/1/2024,PA004,Perth,London,Economy,1235.00,Yes,1,Vegan
8/13/2024,PA011,Perth,Tokyo,Business Class,768.00,Yes,3,Nut Free
12/16/2024,PA002,New York,London,Premium Economy,620.00,Yes,2,Egg Free
2/28/2024,PA006,Tokyo,London,Economy,1695.00,Yes,0,Dairy Free
11/19/2024,PA002,New York,London,Business Class,375.60,Yes,0,Nut Free
2/27/2024,PA009,New York,Tokyo,Business Class,369.60,Yes,1,Dairy Free
2/8/2024,PA006,Tokyo,London,Economy,1310.00,Yes,1,Dairy Free
2/14/2024,PA010,Tokyo,New York,Premium Economy,1107.50,Yes,1,Vegetarian
8/15/2024,PA012,Tokyo,Perth,Business Class,507.60,Yes,1,Vegan
3/7/2024,PA001,London,New York,Economy,2960.00,Yes,1,Egg Free
10/30/2024,PA010,Tokyo,New York,Business Class,402.00,Yes,2,Nut Free
5/1/2024,PA002,New York,London,First Class,277.00,Yes,3,Dairy Free
12/26/2024,PA008,Perth,New York,Business Class,475.20,Yes,1,Vegan
7/25/2024,PA012,Tokyo,Perth,Economy,3115.00,Yes,2,None
9/7/2024,PA009,New York,Tokyo,Economy,3310.00,Yes,0,Vegetarian
7/22/2024,PA006,Tokyo,London,Premium Economy,602.50,Yes,2,None
3/14/2024,PA005,London,Tokyo,Premium Economy,1457.50,Yes,3,Dairy Free
8/27/2024,PA007,New York,Perth,Business Class,726.00,Yes,3,Dairy Free
9/23/2024,PA009,New York,Tokyo,Premium Economy,1275.00,Yes,2,Nut Free
10/10/2024,PA002,New York,London,Economy,3000.00,Yes,1,Vegan
6/12/2024,PA009,New York,Tokyo,Premium Economy,1715.00,Yes,0,Vegan
8/31/2024,PA004,Perth,London,First Class,599.00,Yes,0,Egg Free
1/28/2024,PA001,London,New York,Premium Economy,1395.00,Yes,0,Vegetarian
5/26/2024,PA003,London,Perth,Economy,2455.00,Yes,3,Dairy Free
8/28/2024,PA004,Perth,London,Economy,3050.00,Yes,3,Egg Free
1/3/2024,PA011,Perth,Tokyo,Economy,3500.00,Yes,2,Nut Free
12/23/2024,PA006,Tokyo,London,Business Class,480.00,Yes,2,Dairy Free
11/10/2024,PA007,New York,Perth,Premium Economy,1070.00,Yes,3,Vegetarian
3/26/2024,PA003,London,Perth,Business Class,508.80,Yes,1,Dairy Free
12/14/2024,PA011,Perth,Tokyo,Premium Economy,1310.00,Yes,3,Vegetarian
7/10/2024,PA005,London,Tokyo,Business Class,787.20,Yes,3,Dairy Free
10/31/2024,PA002,New York,London,First Class,275.00,Yes,1,Nut Free
5/14/2024,PA008,Perth,New York,Premium Economy,1477.50,Yes,1,Nut Free
4/4/2024,PA009,New York,Tokyo,Economy,3175.00,Yes,0,Vegetarian
6/20/2024,PA006,Tokyo,London,First Class,200.00,Yes,2,Dairy Free
2/13/2024,PA004,Perth,London,Premium Economy,752.50,Yes,0,None
5/14/2024,PA006,Tokyo,London,Premium Economy,990.00,Yes,2,Egg Free
10/29/2024,PA001,London,New York,First Class,216.00,Yes,0,Nut Free
2/10/2024,PA005,London,Tokyo,First Class,681.00,Yes,1,Vegetarian
8/13/2024,PA008,Perth,New York,First Class,506.00,Yes,2,Nut Free
4/3/2024,PA001,London,New York,Business Class,298.80,Yes,0,Vegan
6/19/2024,PA009,New York,Tokyo,Premium Economy,1275.00,Yes,1,None
3/7/2024,PA009,New York,Tokyo,Business Class,332.40,Yes,3,Egg Free
8/30/2024,PA005,London,Tokyo,Economy,3315.00,Yes,3,Nut Free
6/3/2024,PA002,New York,London,Economy,1230.00,Yes,0,Vegetarian
10/1/2024,PA002,New York,London,Economy,2415.00,Yes,0,Vegan
4/24/2024,PA012,Tokyo,Perth,Premium Economy,535.00,Yes,2,Vegan
6/20/2024,PA001,London,New York,Premium Economy,930.00,Yes,0,Vegan
10/9/2024,PA003,London,Perth,Economy,3415.00,Yes,3,Vegetarian
10/20/2024,PA005,London,Tokyo,First Class,514.00,Yes,1,Nut Free
2/15/2024,PA009,New York,Tokyo,Economy,2980.00,Yes,0,None
1/15/2024,PA008,Perth,New York,Business Class,502.80,Yes,3,Vegan
8/16/2024,PA010,Tokyo,New York,Economy,3265.00,Yes,2,Vegetarian
8/2/2024,PA008,Perth,New York,Premium Economy,1550.00,Yes,1,Dairy Free
7/13/2024,PA005,London,Tokyo,Economy,1480.00,Yes,1,Vegetarian
1/27/2024,PA002,New York,London,Business Class,489.60,Yes,1,None
9/19/2024,PA002,New York,London,Premium Economy,635.00,Yes,1,Vegetarian
8/16/2024,PA007,New York,Perth,Premium Economy,757.50,Yes,3,Egg Free
10/15/2024,PA009,New York,Tokyo,Premium Economy,870.00,Yes,0,Dairy Free
3/12/2024,PA007,New York,Perth,Business Class,434.40,Yes,1,Nut Free
4/15/2024,PA003,London,Perth,Business Class,249.60,Yes,3,Egg Free
5/13/2024,PA004,Perth,London,Economy,2785.00,Yes,3,Vegan
8/30/2024,PA005,London,Tokyo,Business Class,811.20,Yes,3,Vegan
10/1/2024,PA004,Perth,London,First Class,510.00,Yes,1,Vegetarian
5/19/2024,PA010,Tokyo,New York,Premium Economy,1555.00,Yes,2,Egg Free
6/1/2024,PA009,New York,Tokyo,First Class,274.00,Yes,3,Vegetarian
5/11/2024,PA005,London,Tokyo,Business Class,706.80,Yes,1,Egg Free
9/12/2024,PA008,Perth,New York,Economy,1315.00,Yes,0,Dairy Free
8/23/2024,PA011,Perth,Tokyo,Economy,1160.00,Yes,1,Dairy Free
9/23/2024,PA012,Tokyo,Perth,Economy,3495.00,Yes,0,Egg Free
7/27/2024,PA003,London,Perth,Premium Economy,1232.50,Yes,1,None
11/22/2024,PA001,London,New York,Economy,1030.00,Yes,1,None
5/29/2024,PA010,Tokyo,New York,Economy,2765.00,Yes,3,Dairy Free
2/4/2024,PA008,Perth,New York,Economy,1295.00,Yes,2,Egg Free
9/10/2024,PA012,Tokyo,Perth,Business Class,420.00,Yes,2,Nut Free
12/21/2024,PA002,New York,London,Business Class,379.20,Yes,0,Dairy Free
12/25/2024,PA003,London,Perth,First Class,473.00,Yes,0,None
7/15/2024,PA011,Perth,Tokyo,Premium Economy,1670.00,Yes,1,Vegan
12/9/2024,PA003,London,Perth,First Class,602.00,Yes,2,Egg Free
9/20/2024,PA010,Tokyo,New York,First Class,214.00,Yes,3,Dairy Free
12/23/2024,PA009,New York,Tokyo,Premium Economy,952.50,Yes,2,Egg Free
11/28/2024,PA005,London,Tokyo,Economy,2830.00,Yes,3,Vegan
12/3/2024,PA002,New York,London,Business Class,710.40,Yes,1,Dairy Free
3/5/2024,PA004,Perth,London,Economy,2655.00,Yes,2,Egg Free
12/8/2024,PA009,New York,Tokyo,First Class,644.00,Yes,0,Egg Free
7/23/2024,PA004,Perth,London,Economy,1360.00,Yes,3,Nut Free
3/23/2024,PA011,Perth,Tokyo,Premium Economy,572.50,Yes,2,Vegetarian
3/25/2024,PA004,Perth,London,Premium Economy,885.00,Yes,3,Egg Free
5/18/2024,PA008,Perth,New York,First Class,625.00,Yes,2,Egg Free
3/29/2024,PA002,New York,London,Economy,1515.00,Yes,2,None
5/29/2024,PA008,Perth,New York,Economy,3435.00,Yes,2,Egg Free
3/16/2024,PA011,Perth,Tokyo,Economy,2305.00,Yes,2,Vegetarian
8/7/2024,PA006,Tokyo,London,Business Class,460.80,Yes,1,Dairy Free
9/16/2024,PA001,London,New York,Premium Economy,507.50,Yes,0,Nut Free
9/22/2024,PA012,Tokyo,Perth,Economy,1550.00,Yes,1,Nut Free
